Course Code,Course Title,Cr_Hrs,Session,Instructor,Day and Time
CS 200 LEC 1,Introduction to Programming,4.0,16W,Mian Muhammad Awais,MW 02:30PM-03:45PM
CS 200 LAB 1,Introduction to Programming,4.0,16W,Mian Muhammad Awais,W 11:30AM-02:20PM
CS 200 LEC 2,Introduction to Programming,4.0,16W,Waqar Ahmad,MW 10:00AM-11:15AM
CS 200 LAB 2,Introduction to Programming,4.0,16W,Waqar Ahmad,F 08:00AM-10:50AM
CS 200 LEC 3,Introduction to Programming,4.0,16W,Shafay Shamail,MW 09:00AM-10:15AM
CS 200 LAB 3,Introduction to Programming,4.0,16W,Shafay Shamail,R 10:00AM-12:50PM
CS 202 LEC 1,Data Structures,3.0,16W,Agha Ali Raza,TR 11:00AM-12:15PM
CS 210 LEC 1,Discrete Mathematics,4.0,16W,Malik Jahan Khan,TR 01:00PM-02:50PM
CS 210 LEC 2,Discrete Mathematics,4.0,16W,Imdad ullah khan,MW 02:00PM-03:50PM
CS 225 LEC 1,Fundamentals of Computer Systems,4.0,16W,Muhammad Adeel Ahmed Pasha,MW 04:00PM-05:50PM
CS 225 LEC 2,Fundamentals of Computer Systems,4.0,16W,Muhammad Jahangir Ikram,TR 08:00AM-09:50AM
CS 310 LEC 1,Algorithms,3.0,16W,Basit Shafiq,MW 02:30PM-03:45PM
CS 310 LEC 2,Algorithms,3.0,16W,Naveed Anwar Bhatti,MW 09:30AM-10:45AM
CS 334 LEC 1,Principles and Techniques of Data Science,3.0,16W,Ihsan Ayyub Qazi,MW 05:00PM-06:15PM
CS 340 LEC 1,Databases,3.0,16W,Maryam Abdul Ghafoor,MW 11:00AM-12:15PM
CS 340 LEC 2,Databases,3.0,16W,Maryam Abdul Ghafoor,TR 12:30PM-01:45PM
CS 370 LEC 1,Operating Systems,3.0,16W,Muhammad Hammad Alizai,MW 02:30PM-03:45PM
CS 370 LEC 2,Operating Systems,3.0,16W,Naveed Anwar Bhatti,MW 12:30PM-01:45PM
